Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	boot_average	boot_max	boot_min	boot_stdev
Tree 253	22	0	0	0	0	0	0	0	0	56.631580	100.000000	29.000000	20.566223
Tree 254	16	0	0	0	0	0	?	0	0	53.000000	78.000000	23.000000	19.247377
Tree 255	18	0	0	0	0	0	0	0	0	34.933334	91.000000	8.000000	20.407408
Tree 256	16	0	0	0	0	0	0	1	0	55.538460	96.000000	24.000000	26.751320
Tree 257	15	0	0	0	0	0	?	0	0	49.750000	88.000000	19.000000	22.143942
Tree 258	21	0	0	1	?	0	1	0	1	60.500000	100.000000	17.000000	22.838198
Tree 259	16	0	0	0	?	0	0	0	0	42.846153	87.000000	13.000000	21.507944
Tree 260	24	0	0	0	1	0	0	1	0	55.666668	100.000000	18.000000	24.265070
Tree 261	16	0	0	0	?	0	0	0	0	51.461540	84.000000	20.000000	23.795977
Tree 262	17	0	0	0	?	0	?	0	0	51.142857	91.000000	26.000000	18.893904
Tree 263	16	0	0	0	1	0	0	0	0	43.076923	90.000000	12.000000	23.927652
Tree 264	20	0	0	0	0	0	1	0	0	48.117645	88.000000	12.000000	22.650496
Tree 265	22	0	0	0	0	0	0	1	0	53.684212	100.000000	18.000000	21.193476
Tree 266	19	0	0	0	0	0	0	0	1	62.125000	99.000000	18.000000	26.426491
Tree 267	19	0	0	0	0	0	1	1	1	57.000000	99.000000	17.000000	28.277641
Tree 268	16	0	0	0	0	1	?	1	1	65.230766	99.000000	37.000000	17.120180
Tree 269	24	0	0	0	0	0	1	0	0	50.428570	100.000000	16.000000	28.369286
Tree 270	16	0	0	0	0	0	?	1	1	54.461540	98.000000	16.000000	26.228626
Tree 271	18	0	0	0	0	0	0	0	0	40.000000	75.000000	5.000000	20.784609
Tree 272	18	1	1	0	0	0	?	0	0	46.866665	95.000000	14.000000	23.846359
Tree 273	18	0	1	0	0	0	1	0	1	74.933334	100.000000	30.000000	18.957731
Tree 274	21	0	0	0	0	1	0	0	1	48.055557	98.000000	14.000000	21.874573
Tree 275	18	0	0	0	0	0	0	1	0	48.599998	100.000000	21.000000	18.675474
Tree 276	20	0	0	1	0	0	0	1	0	62.941177	99.000000	16.000000	26.890783
Tree 277	17	0	0	0	0	0	1	0	0	52.142857	88.000000	18.000000	21.417139
Tree 278	19	0	0	0	0	0	?	0	0	49.937500	100.000000	18.000000	27.507883
Tree 279	18	0	0	1	0	1	0	0	0	52.599998	89.000000	4.000000	22.556005
Tree 280	18	0	0	0	0	0	0	0	0	52.333332	87.000000	19.000000	21.284319
Tree 281	19	0	1	0	1	0	?	0	0	54.937500	99.000000	15.000000	25.235067
Tree 282	16	0	1	0	?	0	0	0	1+	55.076923	93.000000	6.000000	26.968531
Tree 283	17	0	0	0	0	1	0	0	0	28.857143	78.000000	6.000000	19.022007
Tree 284	18	0	0	0	1	0	?	0	0	48.466667	80.000000	16.000000	17.258299
Tree 285	23	0	0	0	?	0	0	0	0	55.599998	100.000000	12.000000	27.977491
Tree 286	19	0	0	0	0	0	?	0	0	50.375000	100.000000	16.000000	25.283085
Tree 287	17	0	1	0	1	0	1	0	0	60.928570	84.000000	20.000000	20.186502
Tree 288	16	0	1	0	0	0	?	1	0	55.769230	88.000000	24.000000	21.239130
Tree 289	24	0	0	0	0	0	0	0	0	53.047619	100.000000	25.000000	24.497766
Tree 290	19	0	0	0	0	0	?	0	0	56.437500	85.000000	42.000000	11.889957
Tree 291	20	0	0	0	1	1	1	1	1	58.764706	100.000000	29.000000	19.883572
Tree 292	17	0	0	0	1	0	0	0	0	39.857143	89.000000	12.000000	22.601698
Tree 293	17	0	0	0	?	0	0	0	0	49.642857	100.000000	19.000000	23.138117
Tree 294	17	1	1	0	?	0	0	0	0	48.000000	99.000000	13.000000	21.027193
Tree 295	15	0	0	0	?	0	0	1	0	41.833332	86.000000	10.000000	24.313347
Tree 296	21	0	0	0	0	0	0	0	0	54.111111	100.000000	18.000000	22.255808
Tree 297	22	0	0	0	0	0	0	0	0	53.736843	100.000000	22.000000	26.072453
Tree 298	16	0	0	0	?	0	0	0	0	52.615383	82.000000	22.000000	15.799409
Tree 299	16	0	1	0	1	1	0	0	1	73.230766	100.000000	35.000000	25.371557
Tree 300	18	0	0	0	0	0	0	1	0	45.933334	100.000000	5.000000	25.717611
Tree 301	24	0	0	0	0	0	0	0	0	46.476189	100.000000	16.000000	21.836229
Tree 302	16	0	0	0	0	0	0	1	1+	49.307693	78.000000	16.000000	18.987383
Tree 303	17	0	0	0	0	0	?	0	0	52.071430	91.000000	25.000000	20.457148
